,Time,Partidas,Vitórias,Derrotas,Empates,Gols Marcados,Pontuação,Percentual Vitórias,Percentual Empates,Percentual Derrotas,Aproveitamento
3,Flamengo,114,70,21,23,213.0,233,61.40350877192983,20.175438596491226,18.421052631578945,68.12865497076024
17,Palmeiras,114,59,20,35,176.0,212,51.75438596491229,30.701754385964914,17.543859649122805,61.98830409356725
10,Internacional,114,55,29,30,155.0,195,48.24561403508772,26.31578947368421,25.438596491228072,57.01754385964912
18,São Paulo,114,51,23,40,144.0,193,44.73684210526316,35.08771929824561,20.175438596491226,56.4327485380117
1,Grêmio,114,51,26,37,165.0,190,44.73684210526316,32.45614035087719,22.807017543859647,55.55555555555556
4,Santos,114,49,34,31,158.0,178,42.98245614035088,27.192982456140353,29.82456140350877,52.046783625730995
9,Atlético-MG,114,50,39,25,165.0,175,43.859649122807014,21.929824561403507,34.21052631578947,51.16959064327485
6,Athletico-PR,114,49,38,27,143.0,174,42.98245614035088,23.684210526315788,33.33333333333333,50.877192982456144
25,Red Bull Bragantino,38,13,11,14,50.0,53,34.21052631578947,36.84210526315789,28.947368421052634,46.49122807017544
13,Fluminense,114,42,43,29,125.0,155,36.84210526315789,25.438596491228072,37.719298245614034,45.32163742690059
12,Corinthians,114,38,39,37,121.0,151,33.33333333333333,32.45614035087719,34.21052631578947,44.15204678362573
26,Atlético-GO,38,12,12,14,40.0,50,31.57894736842105,36.84210526315789,31.57894736842105,43.859649122807014
21,Fortaleza,76,25,32,19,84.0,94,32.89473684210527,25.0,42.10526315789473,41.228070175438596
11,Bahia,114,35,45,34,131.0,139,30.701754385964914,29.82456140350877,39.473684210526315,40.643274853801174
5,Ceará,114,34,47,33,122.0,135,29.82456140350877,28.947368421052634,41.228070175438596,39.473684210526315
0,Cruzeiro,76,21,29,26,61.0,89,27.631578947368425,34.21052631578947,38.15789473684211,39.03508771929825
8,Vasco,114,32,45,37,117.0,133,28.07017543859649,32.45614035087719,39.473684210526315,38.88888888888889
23,Goiás,76,23,35,18,87.0,87,30.263157894736842,23.684210526315788,46.05263157894737,38.15789473684211
15,Sport,76,23,38,15,66.0,84,30.263157894736842,19.736842105263158,50.0,36.84210526315789
16,Botafogo,114,31,54,29,102.0,122,27.192982456140353,25.438596491228072,47.368421052631575,35.67251461988304
14,América-MG,38,10,18,10,30.0,40,26.31578947368421,26.31578947368421,47.368421052631575,35.08771929824561
7,Chapecoense,76,18,36,22,65.0,76,23.684210526315788,28.947368421052634,47.368421052631575,33.33333333333333
2,Vitória,38,9,19,10,36.0,37,23.684210526315788,26.31578947368421,50.0,32.45614035087719
22,CSA,38,8,22,8,24.0,32,21.052631578947366,21.052631578947366,57.89473684210527,28.07017543859649
24,Coritiba,38,7,21,10,31.0,31,18.421052631578945,26.31578947368421,55.26315789473685,27.192982456140353
19,Paraná,38,5,23,10,18.0,25,13.157894736842104,26.31578947368421,60.526315789473685,21.929824561403507
20,Avaí,38,3,24,11,18.0,20,7.894736842105263,28.947368421052634,63.1578947368421,17.543859649122805
