Time,Partidas,Vitórias,Derrotas,Empates,Gols Marcados,Pontuação,Percentual Vitórias,Percentual Empates,Percentual Derrotas,Aproveitamento
Santos,643,421,110,112,1714,954,65.47433903576983,17.418351477449455,17.107309486780714,74.18351477449455
Palmeiras,653,371,130,152,1250,894,56.814701378254206,23.27718223583461,19.90811638591118,68.45329249617151
São Paulo,653,364,124,165,1284,893,55.742725880551305,25.267993874425727,18.98928024502297,68.37672281776418
Corinthians,649,358,142,149,1236,865,55.1617873651772,22.95839753466872,21.879815100154083,66.64098613251156
Portuguesa,647,307,189,151,1127,765,47.44976816074188,23.338485316846985,29.21174652241113,59.119010819165375
Guarani,643,242,256,145,960,629,37.636080870917574,22.55054432348367,39.813374805598755,48.91135303265941
Ferroviária (SP),582,213,235,134,857,560,36.597938144329895,23.02405498281787,40.37800687285223,48.10996563573883
Ponte Preta,379,130,154,95,478,355,34.300791556728235,25.065963060686013,40.633245382585756,46.833773087071236
Noroeste,480,167,200,113,716,447,34.791666666666664,23.541666666666668,41.66666666666667,46.5625
Botafogo (SP),583,183,250,150,802,516,31.3893653516295,25.728987993138936,42.881646655231556,44.25385934819897
América (SP),407,137,189,81,470,355,33.660933660933665,19.901719901719904,46.43734643734644,43.611793611793615
XV de Piracicaba,499,154,221,124,689,432,30.861723446893784,24.849699398797593,44.28857715430862,43.28657314629258
Comercial (SP),410,132,191,87,555,351,32.19512195121951,21.21951219512195,46.58536585365854,42.80487804878049
Taubaté,286,95,138,53,422,243,33.21678321678322,18.53146853146853,48.25174825174825,42.48251748251749
Nacional (SP),181,59,90,32,291,150,32.59668508287293,17.67955801104972,49.72375690607735,41.43646408839779
Juventus (SP),612,181,290,141,785,503,29.575163398692812,23.03921568627451,47.385620915032675,41.09477124183007
São Bento,493,133,229,131,558,397,26.97768762677485,26.57200811359026,46.45030425963489,40.26369168356998
Prudentina,174,51,86,37,234,139,29.310344827586203,21.26436781609195,49.42528735632184,39.94252873563218
Saad,54,14,26,14,58,42,25.925925925925924,25.925925925925924,48.148148148148145,38.88888888888889
Portuguesa Santista,422,116,213,93,541,325,27.488151658767773,22.03791469194313,50.4739336492891,38.507109004739334
Esportiva (SP),120,31,61,28,135,90,25.833333333333336,23.333333333333332,50.83333333333333,37.5
XV de Jaú,191,52,105,34,265,138,27.225130890052355,17.801047120418847,54.973821989528794,36.12565445026178
Jabaquara,304,81,168,55,437,217,26.644736842105267,18.092105263157894,55.26315789473685,35.69078947368421
Corinthians (PP),34,10,21,3,44,23,29.411764705882355,8.823529411764707,61.76470588235294,33.82352941176471
Marília,44,8,24,12,40,28,18.181818181818183,27.27272727272727,54.54545454545454,31.818181818181817
Comercial Paulistano,38,6,22,10,52,22,15.789473684210526,26.31578947368421,57.89473684210527,28.947368421052634
Linense,109,19,65,25,138,63,17.431192660550458,22.93577981651376,59.63302752293578,28.899082568807337
Paulista,92,16,55,21,69,53,17.391304347826086,22.82608695652174,59.78260869565217,28.804347826086957
Bragantino,28,7,20,1,36,15,25.0,3.571428571428571,71.42857142857143,26.785714285714285
Ypiranga (SP),112,18,72,22,112,58,16.071428571428573,19.642857142857142,64.28571428571429,25.892857142857146
