Comp,Temp,Data,Casa,GC,GF,Fora,Res,PC,PF,J
Paulista,2018.0,2018-02-02,São Bento,2,2,Santo André,E,1,1,1.0
Paulista,2018.0,2018-02-03,Ituano,1,1,Ponte Preta,E,1,1,2.0
Paulista,2018.0,2018-02-03,Red Bull,1,1,Red Bull Bragantino,E,1,1,3.0
Paulista,2018.0,2018-02-03,São Paulo,2,0,Botafogo-SP,VC,3,0,4.0
Paulista,2018.0,2018-02-04,Novorizontino,0,1,Corinthians,VV,0,3,5.0
Paulista,2018.0,2018-02-04,Palmeiras,2,1,Santos,VC,3,0,6.0
Paulista,2018.0,2018-02-04,São Caetano,0,2,Mirassol,VV,0,3,7.0
Paulista,2018.0,2018-02-05,Linense,1,2,Ferroviária-SP,VV,0,3,8.0
Paulista,2018.0,2018-02-07,São Paulo,1,0,Red Bull Bragantino,VC,3,0,9.0
Paulista,2018.0,2018-02-09,Santo André,2,1,Corinthians,VC,3,0,10.0
Paulista,2018.0,2018-02-09,São Bento,2,2,Linense,E,1,1,11.0
Paulista,2018.0,2018-02-10,São Caetano,1,1,Red Bull,E,1,1,12.0
Paulista,2018.0,2018-02-10,Mirassol,0,2,Palmeiras,VV,0,3,13.0
Paulista,2018.0,2018-02-10,Ponte Preta,1,1,Novorizontino,E,1,1,14.0
Paulista,2018.0,2018-02-10,Botafogo-SP,1,0,Ituano,VC,3,0,15.0
Paulista,2018.0,2018-02-10,Ferroviária-SP,2,2,Santos,E,1,1,16.0
Paulista,2018.0,2018-02-14,Botafogo-SP,1,1,Ponte Preta,E,1,1,17.0
Paulista,2018.0,2018-02-14,Red Bull Bragantino,0,0,Mirassol,E,1,1,18.0
Paulista,2018.0,2018-02-14,Corinthians,0,1,São Bento,VV,0,3,19.0
Paulista,2018.0,2018-02-14,Ferroviária-SP,2,1,Santo André,VC,3,0,20.0
Paulista,2018.0,2018-02-14,Santos,2,0,São Caetano,VC,3,0,21.0
Paulista,2018.0,2018-02-15,Novorizontino,0,2,Red Bull,VV,0,3,22.0
Paulista,2018.0,2018-02-15,Palmeiras,2,2,Linense,E,1,1,23.0
Paulista,2018.0,2018-02-17,Santo André,1,1,Red Bull Bragantino,E,1,1,24.0
Paulista,2018.0,2018-02-17,São Caetano,1,0,Ferroviária-SP,VC,3,0,25.0
Paulista,2018.0,2018-02-18,São Paulo,0,1,Santos,VV,0,3,26.0
Paulista,2018.0,2018-02-18,Mirassol,1,1,Ituano,E,1,1,27.0
Paulista,2018.0,2018-02-18,Ponte Preta,0,0,Palmeiras,E,1,1,28.0
Paulista,2018.0,2018-02-18,São Bento,0,0,Botafogo-SP,E,1,1,29.0
Paulista,2018.0,2018-02-19,Red Bull,1,1,Corinthians,E,1,1,30.0
Paulista,2018.0,2018-02-19,Linense,2,3,Novorizontino,VV,0,3,31.0
Paulista,2018.0,2018-02-21,Ituano,2,1,São Paulo,VC,3,0,32.0
Paulista,2018.0,2018-02-24,Corinthians,2,0,Palmeiras,VC,3,0,33.0
Paulista,2018.0,2018-02-24,São Caetano,1,0,São Bento,VC,3,0,34.0
Paulista,2018.0,2018-02-25,Red Bull Bragantino,2,1,Novorizontino,VC,3,0,35.0
Paulista,2018.0,2018-02-25,Mirassol,1,0,Ponte Preta,VC,3,0,36.0
Paulista,2018.0,2018-02-25,Santos,2,0,Santo André,VC,3,0,37.0
Paulista,2018.0,2018-02-25,São Paulo,0,0,Ferroviária-SP,E,1,1,38.0
Paulista,2018.0,2018-02-26,Ituano,1,0,Red Bull,VC,3,0,39.0
Paulista,2018.0,2018-02-26,Botafogo-SP,1,1,Linense,E,1,1,40.0
Paulista,2018.0,2018-03-02,Ferroviária-SP,2,2,Mirassol,E,1,1,41.0
Paulista,2018.0,2018-03-03,Novorizontino,3,2,Ituano,VC,3,0,42.0
Paulista,2018.0,2018-03-03,Red Bull,0,0,São Bento,E,1,1,43.0
Paulista,2018.0,2018-03-03,Santo André,0,1,Botafogo-SP,VV,0,3,44.0
Paulista,2018.0,2018-03-04,Santos,1,1,Corinthians,E,1,1,45.0
Paulista,2018.0,2018-03-04,Linense,1,2,São Paulo,VV,0,3,46.0
Paulista,2018.0,2018-03-05,Palmeiras,0,1,São Caetano,VV,0,3,47.0
Paulista,2018.0,2018-03-05,Ponte Preta,0,1,Red Bull Bragantino,VV,0,3,48.0
Paulista,2018.0,2018-03-06,São Bento,0,1,Ituano,VV,0,3,49.0
Paulista,2018.0,2018-03-07,Corinthians,1,0,Mirassol,VC,3,0,50.0
Paulista,2018.0,2018-03-07,Linense,1,0,Santo André,VC,3,0,51.0
Paulista,2018.0,2018-03-07,Novorizontino,2,1,Santos,VC,3,0,52.0
Paulista,2018.0,2018-03-08,Ferroviária-SP,0,0,Red Bull Bragantino,E,1,1,53.0
Paulista,2018.0,2018-03-08,Palmeiras,2,0,São Paulo,VC,3,0,54.0
Paulista,2018.0,2018-03-08,Red Bull,0,0,Ponte Preta,E,1,1,55.0
Paulista,2018.0,2018-03-08,São Caetano,0,0,Botafogo-SP,E,1,1,56.0
Paulista,2018.0,2018-03-11,São Paulo,3,1,Red Bull,VC,3,0,57.0
Paulista,2018.0,2018-03-11,Santos,1,3,São Bento,VV,0,3,58.0
Paulista,2018.0,2018-03-11,Ponte Preta,0,0,Ferroviária-SP,E,1,1,59.0
Paulista,2018.0,2018-03-11,Santo André,2,3,Novorizontino,VV,0,3,60.0
Paulista,2018.0,2018-03-11,Ituano,0,3,Palmeiras,VV,0,3,61.0
