Data,Casa,GC,GF,Fora
1965-10-10,Corinthians,2,0,Prudentina
1965-10-10,Noroeste,1,0,Palmeiras
1965-10-13,Santos,3,0,Port. Santista
1965-10-14,Portuguesa,5,1,Guarani
1965-10-16,Santos,0,0,São Paulo
1965-10-17,Botafogo,3,0,XV de Piracicaba
1965-10-17,Palmeiras,1,0,Guarani
1965-10-17,Corinthians,2,1,Port. Santista
1965-10-17,Prudentina,2,0,Comercial (RP)
1965-10-17,América,0,1,Portuguesa
1965-10-17,Ferroviária,0,2,Noroeste
1965-10-17,São Bento,3,0,Juventus
1965-10-20,América,1,0,Ferroviária
1965-10-20,São Bento,4,1,Noroeste
1965-10-20,XV de Piracicaba,1,3,Prudentina
1965-10-21,Corinthians,6,2,Juventus
1965-10-23,Palmeiras,2,1,São Paulo
1965-10-23,São Paulo,2,1,Botafogo
1965-10-24,América,0,4,Santos
1965-10-24,Ferroviária,1,2,Guarani
1965-10-24,XV de Piracicaba,3,1,São Bento
1965-10-24,Botafogo,0,2,Prudentina
1965-10-24,Guarani,0,1,Juventus
1965-10-24,Corinthians,2,1,Comercial (RP)
1965-10-24,Noroeste,1,0,Portuguesa
1965-10-27,Portuguesa,0,1,Santos
1965-10-30,Juventus,0,2,América
1965-10-31,Comercial (RP),1,0,São Paulo
1965-10-31,Noroeste,1,0,XV de Piracicaba
1965-10-31,Corinthians,2,0,Portuguesa
1965-10-31,Prudentina,2,5,Santos
1965-10-31,Guarani,1,1,São Bento
1965-11-03,XV de Piracicaba,1,1,Port. Santista
1965-11-03,América,2,0,Comercial (RP)
1965-11-04,Portuguesa,1,1,Botafogo
1965-11-06,Comercial (RP),3,1,Ferroviária
1965-11-07,Botafogo,2,2,Juventus
1965-11-07,Prudentina,1,2,São Bento
1965-11-07,Corinthians,4,0,América
1965-11-07,São Paulo,8,0,Noroeste
1965-11-07,Port. Santista,1,2,Palmeiras
1965-11-07,XV de Piracicaba,0,2,Santos
1965-11-10,Botafogo,1,0,Noroeste
1965-11-10,Port. Santista,1,3,Comercial (RP)
1965-11-11,Juventus,1,1,Portuguesa
1965-11-13,Palmeiras,2,1,América
1965-11-13,São Paulo,6,1,Port. Santista
1965-11-14,Ferroviária,1,1,Juventus
1965-11-14,XV de Piracicaba,1,0,Portuguesa
1965-11-14,Noroeste,0,0,Prudentina
1965-11-14,Comercial (RP),2,3,São Bento
1965-11-14,Santos,4,2,Corinthians
1965-11-17,Juventus,2,0,Prudentina
1965-11-17,Port. Santista,1,0,Ferroviária
1965-11-20,América,2,1,Noroeste
1965-11-20,Ferroviária,3,2,São Bento
1965-11-24,Palmeiras,1,0,XV de Piracicaba
1965-11-24,Portuguesa,2,1,São Paulo
1965-11-24,Juventus,1,0,Port. Santista
1965-11-25,Santos,5,0,Botafogo
1965-11-25,Guarani,3,1,Corinthians
1965-11-27,Palmeiras,4,3,Ferroviária
1965-11-27,Santos,4,0,Juventus
1965-11-28,Corinthians,5,1,Noroeste
1965-11-28,São Bento,2,2,Portuguesa
1965-11-28,Guarani,3,1,Comercial (RP)
1965-11-28,São Paulo,4,1,XV de Piracicaba
1965-11-28,Prudentina,1,1,América
1965-11-30,Palmeiras,2,1,Botafogo
1965-12-01,São Bento,2,0,São Paulo
1965-12-04,Guarani,0,1,Santos
1965-12-04,São Paulo,1,0,Ferroviária
1965-12-05,Comercial (RP),0,0,Botafogo
1965-12-05,Port. Santista,1,1,Prudentina
1965-12-05,Noroeste,2,2,Juventus
1965-12-05,XV de Piracicaba,2,1,América
1965-12-05,Palmeiras,1,0,Corinthians
1965-12-08,Ferroviária,2,1,Corinthians
1965-12-09,Portuguesa,3,1,Comercial (RP)
1965-12-09,São Bento,1,3,Palmeiras
1965-12-11,Botafogo,0,0,Corinthians
1965-12-12,América,1,0,São Paulo
1965-12-12,Palmeiras,5,0,Santos
1965-12-12,Juventus,1,2,Comercial (RP)
1965-12-12,Prudentina,2,0,Ferroviária
1965-12-12,Noroeste,1,1,Guarani
1965-12-15,Corinthians,7,0,XV de Piracicaba
1965-12-15,Botafogo,1,2,São Bento
1965-12-16,Palmeiras,1,0,Juventus
1965-12-16,Prudentina,1,1,"Portuguesa
Classificação Final




PG"
